gene_symbol,transcript_id,TPM
ALDH4A1,ENST00000375341,0
IFFO2,ENST00000455833,0
UBR4,ENST00000375254,2.5e-5
EMC1,ENST00000477853,11.389707
MRTO4,ENST00000330263,2.029426
AKR7A3,ENST00000361640,0
PQLC2,ENST00000375153,0
CAPZB,ENST00000264202,0
MINOS1,ENST00000322753,0
NBL1,ENST00000375136,0
HTR6,ENST00000289753,1.028715
RNF186,ENST00000375121,0
OTUD3,ENST00000375120,0.145746
PLA2G2E,ENST00000375116,0
PLA2G5,ENST00000375108,0
PLA2G2D,ENST00000375105,0
PLA2G2F,ENST00000375102,0.369136
UBXN10,ENST00000375099,0.343776
CAMK2N1,ENST00000375078,0
MUL1,ENST00000264198,0.419111
FAM43B,ENST00000332947,0
CDA,ENST00000375071,0
PINK1,ENST00000321556,4.494011
DDOST,ENST00000602624,2.137196
KIF17,ENST00000400463,0
SH2D5,ENST00000444387,0
HP1BP3,ENST00000438032,0
ECE1,ENST00000374893,0
NBPF3,ENST00000318249,0.595713
ALPL,ENST00000374840,0
USP48,ENST00000308271,0
LDLRAD2,ENST00000344642,46.181447
HSPG2,ENST00000374695,0
CELA3B,ENST00000337107,0
CELA3A,ENST00000290122,0
WNT4,ENST00000290167,9.331323
ZBTB40,ENST00000375647,0.32415
EPHA8,ENST00000166244,0
C1QA,ENST00000374642,1.08461
C1QC,ENST00000374640,0
C1QB,ENST00000509305,0
EPHB2,ENST00000374630,0
C1orf234,ENST00000566855,0
KDM1A,ENST00000400181,0
HNRNPR,ENST00000302271,0
ZNF436,ENST00000314011,6.931627
TCEA3,ENST00000450454,0
ASAP3,ENST00000336689,0
E2F2,ENST00000361729,0.184605
ID3,ENST00000374561,1.902134
PITHD1,ENST00000246151,0
LYPLA2,ENST00000374514,3.953428
HMGCL,ENST00000374490,0
FUCA1,ENST00000374479,0
CNR2,ENST00000374472,0.182066
PNRC2,ENST00000334351,3.473138
SRSF10,ENST00000492112,0
MYOM3,ENST00000374434,0.165713
IL22RA1,ENST00000270800,0
IFNLR1,ENST00000327535,0.423091
GRHL3,ENST00000361548,0
STPG1,ENST00000337248,0
NIPAL3,ENST00000374399,0.534789
RCAN3,ENST00000374395,0
NCMAP,ENST00000374392,0.244771
SRRM1,ENST00000323848,0
CLIC4,ENST00000374379,1.559688
RUNX3,ENST00000308873,0
SYF2,ENST00000236273,3.633588
C1orf63,ENST00000243189,0
TMEM50A,ENST00000374358,0.905545
TMEM57,ENST00000374343,0
LDLRAP1,ENST00000374338,0
SEPN1,ENST00000361547,0
MTFR1L,ENST00000374303,0
AUNIP,ENST00000374298,2.311822
STMN1,ENST00000455785,0
PAFAH2,ENST00000374282,0
EXTL1,ENST00000374280,2.801777
SLC30A2,ENST00000374276,0
TRIM63,ENST00000374272,0
PDIK1L,ENST00000374269,0
FAM110D,ENST00000374268,2.506938
ZNF593,ENST00000374266,2.347665
CNKSR1,ENST00000361530,0
CATSPER4,ENST00000456354,0
CEP85,ENST00000451429,0
SH3BGRL3,ENST00000270792,8.385758
CD52,ENST00000374213,0
ZNF683,ENST00000349618,0
LIN28A,ENST00000326279,1.470599
DHDDS,ENST00000236342,0
HMGN2,ENST00000361427,2.387587
RPS6KA1,ENST00000374168,0
ARID1A,ENST00000324856,0
ZDHHC18,ENST00000374142,0
SFN,ENST00000339276,0
GPN2,ENST00000374135,0
GPATCH3,ENST00000361720,0
NR0B2,ENST00000254227,0
NUDC,ENST00000321265,2.541472
C1orf172,ENST00000320567,8.529656
TRNP1,ENST00000522111,0
FAM46B,ENST00000289166,2.140745
SLC9A1,ENST00000263980,0
WDTC1,ENST00000319394,0
MAP3K6,ENST00000357582,0
FCN3,ENST00000270879,0
CD164L2,ENST00000374030,0
GPR3,ENST00000374024,2.418543
FGR,ENST00000374005,0
IFI6,ENST00000361157,0
FAM76A,ENST00000373954,0
STX12,ENST00000373943,0.327914
PPP1R8,ENST00000311772,3.057242
THEMIS2,ENST00000373921,0
RPA2,ENST00000373912,0
SMPDL3B,ENST00000373894,0
XKR8,ENST00000373884,1.12146
EYA3,ENST00000373871,0
PTAFR,ENST00000373857,0
DNAJC8,ENST00000263697,0
ATPIF1,ENST00000335514,0
SESN2,ENST00000253063,0
MED18,ENST00000373842,0
PHACTR4,ENST00000373839,0.629931
TRNAU1AP,ENST00000373830,17.675649
TAF12,ENST00000373824,0
GMEB1,ENST00000373816,0
YTHDF2,ENST00000373812,0
OPRD1,ENST00000234961,0
EPB41,ENST00000343067,0
TMEM200B,ENST00000521452,38.686226
SRSF4,ENST00000373795,0
MECR,ENST00000263702,0
